id,renta_id,mueble_id
1,1,9
2,1,4
3,1,1
4,1,7
5,2,2
6,2,1
7,2,9
8,2,5
9,2,7
10,2,8
11,3,9
12,3,7
13,3,4
14,3,2
15,3,6
16,3,3
17,3,8
18,4,4
19,4,1
20,4,2
21,4,8
22,5,7
23,5,4
24,5,3
25,5,1
26,5,9
27,5,5
28,5,6
29,6,8
30,6,2
31,6,3
32,6,1
33,6,6
34,6,7
35,6,9
36,6,5
37,7,9
38,7,1
39,7,6
40,7,8
41,7,3
42,7,7
43,7,5
44,7,2
45,7,4
46,8,3
47,8,6
48,8,5
49,9,9
50,9,4
51,9,6
52,9,8
53,9,3
54,9,1
55,9,5
56,10,5
57,10,4
58,10,1
59,10,6
60,10,2
61,10,7
62,11,8
63,11,7
64,12,2
65,12,1
66,12,6
67,12,8
68,12,5
69,12,4
70,12,9
71,12,7
72,13,5
73,13,4
74,13,2
75,13,7
76,13,6
77,13,9
78,13,1
79,13,8
80,13,3
81,16,6
82,16,8
83,16,5
84,16,2
85,16,1
86,16,3
87,17,9
88,17,5
89,18,3
90,18,7
91,18,9
92,18,6
93,18,5
94,18,4
95,18,8
96,18,2
97,18,1
98,19,2
99,19,4
100,19,5
101,19,3
102,19,1
103,19,9
104,19,8
105,20,5
106,20,4
107,21,3
108,21,6
109,21,9
110,21,7
111,21,4
112,21,2
113,22,1
114,22,5
115,22,3
116,23,7
117,23,9
118,23,3
119,23,6
120,23,8
121,23,1
122,23,2
123,24,4
124,24,1
125,24,7
126,24,3
127,25,8
128,25,7
129,25,1
130,25,4
131,25,3
132,25,9
133,26,6
134,26,1
135,26,5
136,26,2
137,26,8
138,28,2
139,28,5
140,28,8
141,28,4
142,29,6
143,29,5
144,30,8
145,30,4
146,30,9
147,30,6
148,30,3
149,30,7
150,31,8
151,31,2
152,32,7
153,32,2
154,32,4
155,32,6
156,33,3
157,33,8
158,33,2
159,33,5
160,33,1
161,33,6
162,33,7
163,33,4
164,33,9
165,34,4
166,34,6
167,36,9
168,36,3
169,36,6
170,37,1
171,37,9
172,37,7
173,37,2
174,37,3
175,38,4
176,38,1
177,39,4
178,39,3
179,40,6
180,40,7
181,40,8
182,40,5
183,40,9
184,41,2
185,41,6
186,42,9
187,42,2
188,42,4
189,42,5
190,42,7
191,42,1
192,42,8
193,42,3
194,42,6
195,43,1
196,43,7
197,43,8
198,43,4
199,43,6
200,43,9
201,43,5
202,43,3
203,43,2
204,45,6
205,45,1
206,45,5
207,46,3
208,46,1
209,46,6
210,46,7
211,46,4
212,48,8
213,48,1
214,48,5
215,48,4
216,49,3
217,49,2
218,49,8
219,49,1
220,49,4
221,50,1
222,50,5
223,50,9
224,50,4
225,50,7
226,50,8
227,51,4
228,51,9
229,51,8
230,51,5
231,51,1
232,52,7
233,52,8
234,52,5
235,52,4
236,55,9
237,55,1
238,55,3
239,55,4
240,55,5
241,55,8
242,55,7
243,57,4
244,57,3
245,58,3
246,58,7
247,58,8
248,58,5
249,58,6
250,58,2
251,58,4
252,58,9
253,58,1
254,59,3
255,59,8
256,59,4
257,59,6
258,59,7
259,59,9
260,60,1
261,60,7
262,60,8
263,60,6
264,60,3
265,60,9
266,60,4
267,60,5
268,61,8
269,61,7
270,62,3
271,62,7
272,62,9
273,62,5
274,62,6
275,62,4
276,63,2
277,63,1
278,63,8
279,63,5
280,63,3
281,63,9
282,63,4
283,63,7
284,63,6
285,64,8
286,65,5
287,65,1
288,65,6
289,65,4
290,66,4
291,66,2
292,67,2
293,67,3
294,67,4
295,67,8
296,67,9
297,67,5
298,68,2
299,68,4
300,68,3
301,68,9
302,68,8
303,68,1
304,68,7
305,68,6
306,69,8
307,70,4
308,70,5
309,70,2
310,70,7
311,70,8
312,70,6
313,70,9
314,70,1
315,71,5
316,71,7
317,71,3
318,71,6
319,71,4
320,72,3
321,72,7
322,72,6
323,72,5
324,72,2
325,72,1
326,72,4
327,72,8
328,74,7
329,74,6
330,74,9
331,74,8
332,74,4
333,74,5
334,75,8
335,75,6
336,75,1
337,75,2
338,75,9
339,76,6
340,76,4
341,76,9
342,76,1
343,76,8
344,76,3
345,76,7
346,76,2
347,76,5
348,77,4
349,77,1
350,77,2
351,78,4
352,78,5
353,78,3
354,79,8
355,79,2
356,79,3
357,80,7
358,80,2
359,80,6
360,80,9
361,81,8
362,81,7
363,81,6
364,81,2
365,82,1
366,82,4
367,82,6
368,82,3
369,82,7
370,82,8
371,83,5
372,83,9
373,83,7
374,83,3
375,83,6
376,83,2
377,84,8
378,84,5
379,84,6
380,84,1
381,84,9
382,84,4
383,86,5
384,86,2
385,86,8
386,86,9
387,87,2
388,87,3
389,87,6
390,88,3
391,88,9
392,88,5
393,88,7
394,89,3
395,89,2
396,89,1
397,89,6
398,89,5
399,89,7
400,89,4
401,90,6
402,90,7
403,90,4
404,90,8
405,90,3
406,90,5
407,90,9
408,90,2
409,90,1
410,91,6
411,91,2
412,91,1
413,91,5
414,91,9
415,91,8
416,91,3
417,91,7
418,91,4
419,92,3
420,92,4
421,92,5
422,92,6
423,93,3
424,94,6
425,94,3
426,94,7
427,94,1
428,95,5
429,95,2
430,95,4
431,95,7
432,95,8
433,95,1
434,95,9
435,95,6
436,95,3
437,97,5
438,97,1
439,98,3
440,98,1
441,98,8
442,98,6
443,98,9
444,98,2
445,99,7
446,99,1
447,99,3
448,99,6
449,99,4
450,99,9
451,99,8
452,100,8
453,100,6
454,100,2
455,100,9
456,100,5
457,101,2
458,101,9
459,103,1
460,103,6
461,103,3
462,103,2
463,103,8
464,103,5
465,103,7
466,103,9
467,105,4
468,105,1
469,105,2
470,105,9
471,105,5
472,105,6
473,105,8
474,106,3
475,106,2
