id,renta_id,servicio_id
1,2,3
2,2,1
3,2,2
4,3,2
5,3,1
6,3,5
7,5,5
8,5,1
9,5,3
10,5,2
11,6,5
12,7,1
13,7,3
14,7,5
15,8,3
16,8,5
17,9,3
18,9,5
19,9,2
20,10,1
21,10,2
22,10,5
23,11,2
24,12,3
25,14,2
26,14,5
27,14,1
28,15,2
29,15,5
30,16,3
31,16,5
32,16,1
33,16,2
34,17,5
35,17,3
36,17,1
37,17,2
38,18,3
39,21,1
40,21,2
41,21,3
42,23,5
43,23,3
44,23,1
45,24,5
46,24,3
47,24,1
48,24,2
49,25,1
50,25,2
51,25,3
52,25,5
53,27,5
54,27,1
55,28,1
56,28,3
57,28,2
58,28,5
59,29,3
60,29,5
61,29,1
62,29,2
63,30,2
64,30,5
65,30,3
66,31,3
67,31,5
68,32,3
69,33,2
70,33,5
71,35,1
72,35,3
73,35,5
74,36,5
75,36,3
76,36,2
77,36,1
78,37,5
79,37,2
80,37,3
81,37,1
82,38,2
83,39,1
84,39,3
85,39,2
86,39,5
87,41,3
88,41,5
89,41,2
90,42,1
91,42,2
92,42,5
93,43,5
94,44,3
95,45,1
96,45,3
97,46,2
98,46,3
99,46,1
100,46,5
101,47,1
102,47,3
103,47,2
104,48,5
105,48,2
106,48,3
107,48,1
108,49,5
109,50,2
110,50,1
111,51,3
112,52,1
113,52,5
114,52,2
115,54,3
116,54,2
117,54,1
118,55,5
119,55,3
120,56,2
121,58,2
122,60,3
123,60,2
124,60,5
125,60,1
126,61,5
127,61,1
128,63,3
129,64,1
130,64,3
131,64,5
132,64,2
133,65,1
134,65,2
135,65,3
136,66,5
137,67,1
138,67,5
139,67,2
140,68,5
141,69,1
142,69,2
143,69,5
144,70,2
145,70,5
146,71,2
147,72,1
148,72,5
149,72,3
150,73,3
151,73,1
152,73,5
153,74,3
154,76,5
155,77,2
156,77,5
157,77,3
158,77,1
159,79,1
160,79,3
161,80,1
162,81,3
163,81,1
164,81,5
165,81,2
166,82,1
167,82,2
168,82,5
169,82,3
170,83,5
171,83,1
172,83,2
173,84,2
174,85,5
175,85,1
176,85,3
177,86,1
178,86,2
179,86,5
180,86,3
181,87,2
182,89,5
183,90,3
184,91,2
185,91,5
186,91,1
187,91,3
188,92,5
189,93,5
190,93,1
191,93,2
192,93,3
193,94,5
194,96,1
195,96,3
196,96,2
197,96,5
198,97,2
199,97,5
200,97,3
201,97,1
202,98,5
203,98,2
204,99,3
205,99,5
206,100,5
207,100,2
208,100,3
209,100,1
210,101,1
211,102,5
212,102,2
213,103,2
214,103,5
215,103,1
216,103,3
217,105,3
218,106,5
219,108,3
220,108,1
221,108,2
